history_date,production_isk,destruction_isk,mining_isk
2019-01-01,5087849708462.761,1286211647406.05,1831586444220.8357
2019-01-02,5371248688706.399,1193095455106.14,1812047959736.395
2019-01-03,5016832154162.34,1138683309504.35,1994656413842.2158
2019-01-04,5261996815854.651,1326690437943.73,1919876399066.3848
2019-01-05,6386857229132.888,1880315842897.24,1835361961923.9336
2019-01-06,4935689474762.598,1485338460810.96,1869786789855.0652
2019-01-07,5411201569537.479,1249859623236.58,1800732333811.3875
2019-01-08,5014443102488.517,1034727091939.02,1880690590205.9617
2019-01-09,4790403555665.261,998775923719.2,1817394975300.6516
2019-01-10,5527709629172.703,1180250493055.9,1836186071369.5215
2019-01-11,5472070878088.005,1011792696747.99,1861351405644.6553
2019-01-12,5024847254253.815,1985844939572.98,2019346196338.573
2019-01-13,5204754428306.145,1871783935528.97,1591990497830.4463
2019-01-14,5466997506236.575,1078138817300.9,1793237786466.6108
2019-01-15,4963709037671.387,1000039324733.22,1715571494733.4058
2019-01-16,4994630810798.574,1772506361575.98,1782364522803.556
2019-01-17,5172650321086.691,1105042374662.93,1814676433340.8416
2019-01-18,5231629652267.1455,1172108430046.72,1883300945852.291
2019-01-19,4932863401256.919,1627619483818.12,2202408096176.052
2019-01-20,5339688479533.19,1713175335605.8,2154601288776.203
2019-01-21,5195178253642.996,1197968806799.13,2138433986512.7644
2019-01-22,4713143499215.997,982486967543.5,1947046936459.0527
2019-01-23,4773437482547.892,1114796158888.06,1860091898351.5054
2019-01-24,5531335313948.042,1096896665900.26,1954350327221.9897
2019-01-25,5047931844969.449,979118698930.57,1996883838146.8445
2019-01-26,5224165150149.943,1934939165424.06,2236366382102.0166
2019-01-27,6139135855690.53,1419752305897.61,2124282843171.6667
2019-01-28,5010045762897.552,1004576133117.55,1891389459331.7493
2019-01-29,5621797791554.534,1369660226342.56,1899372100944.4426
2019-01-30,5110087421634.329,982781081256.01,1996611104951.687
2019-01-31,5081682133320.56,1069113316763.51,2091143206256.9382
2019-02-01,5137485532206.709,995415351053.54,2088730354603.8108
2019-02-02,5701550920314.221,1891683063238.49,2141993462758.8262
2019-02-03,5360558529859.36,1579143929544.61,2287834664461.627
2019-02-04,5824664961244.549,898101375994.67,1884626373046.4678
2019-02-05,4597718676429.281,1089858209459.44,1689507371761.9668
2019-02-06,5172571431123.238,1090552099399.6,2021834286121.1147
2019-02-07,5026850218586.39,947910979611.59,1952676915151.7046
2019-02-08,5564971471517.414,956044975046.16,1986179113107.7783
2019-02-09,5674528092720.08,1663168772375.24,2285265729996.377
2019-02-10,5430595159335.767,1250319325908.04,2576724078194.868
2019-02-11,5166952666458.911,933457445847.25,1978077198418.234
2019-02-12,5438198979207.544,1118918117035.9,2042741635106.387
2019-02-13,5235173344486.256,,
2019-02-14,5117116697679.578,901033661307.17,1924568501661.5374
2019-02-15,4842456419974.145,961719771159.57,2058352812967.5955
2019-02-16,5279173019620.324,1756453471590.47,2295518067657.1836
2019-02-17,5382082512048.812,1698124388064.17,2279562870258.8438
2019-02-18,5460201120560.334,957741104787.73,2083754624497.994
2019-02-19,5128654006137.846,1042477355025.67,2030446241740.6245
2019-02-20,5532782902277.13,1031503557545.99,2237658588122.799
2019-02-21,4947000611169.618,992188360458.34,1770771180616.4526
2019-02-22,4930652849195.56,1056483238284.1,1718444819037.1025
2019-02-23,4730407443040.534,1608461118324.86,1892185896612.9722
2019-02-24,4742967827331.453,1693374993102.96,1982568750263.069
2019-02-25,4844040355517.744,959431401637.49,2554593139168.5796
2019-02-26,4889749219462.61,1049904753080.04,2519760973980.8296
2019-02-27,5068540332130.429,1239496329230.96,1930212781824.375
2019-02-28,5123524623473.896,1110000427486.31,1896541705899.3435
2019-03-01,4692160136857.071,1207887644626.07,1713147482395.8293
2019-03-02,5737607872198.21,2005909504538.3,1949470204728.7761
2019-03-03,5753310901880.292,1830906086400.22,1896470143057.6445
2019-03-04,5122131995433.4375,966249716013.35,1714768088786.4963
2019-03-05,5969938144840.379,1055518974605.96,1715323444880.5867
2019-03-06,4534072243202.245,1187439821553.69,1786136366496.7078
2019-03-07,5377919812719.695,1007153236297.79,1809957859779.2803
2019-03-08,5070527094080.951,1023576151939.31,1802981424270.1616
2019-03-09,5652094359901.559,1464990461906.16,2182449764333.7961
2019-03-10,5828833905456.923,1457266452164.09,2213993043582.9233
2019-03-11,5318879643742.79,844640307827.74,1965013147766.7852
2019-03-12,4908190535425.175,1043837457533.34,2200184485443.132
2019-03-13,4690006487639.392,1014028300683.38,1673905221213.8875
2019-03-14,5209923038702.379,1130308153119.06,1655646231798.338
2019-03-15,5082639724027.577,1066309150221.08,1677175876611.2595
2019-03-16,4902443304524.789,1810672474754.23,3052178234074.882
2019-03-17,5434431060060.29,1416079493882.8,2233472065715.859
2019-03-18,5481296460378.594,1241810221000.68,2453238481647.633
2019-03-19,4847793647400.354,958219403023.23,1746924511045.5664
2019-03-20,4874764681389.617,999998282834.96,
2019-03-21,4336255583807.5776,1116238353109.79,1933789848980.7314
2019-03-22,4861239117040.258,1077512108824.48,3142065788761.9
2019-03-23,5440354211365.308,1794625224309.83,2964683724805.9097
2019-03-24,4947056657036.378,2062846531840.27,2692358869288.6343
2019-03-25,4927845805068.694,1080355856310.71,
2019-03-26,4772433949691.116,1068311864265.96,1696240227528.521
2019-03-27,4440313449325.946,893788588303.8,1662393990851.7607
2019-03-28,4488196810935.0205,1065010527332.82,1749167177653.859
2019-03-29,5039475791864.13,1010556918224.37,1622733863409.8057
2019-03-30,4773382635630.6,2094096936583.51,1828852883073.268
2019-03-31,5787188990132.3125,1480657801330.24,2204023817684.518
2019-04-01,4964057082663.7705,1071073251070.0,1642430644244.55
2019-04-02,4942587945816.595,1128798869691.0,1632507583871.6785
2019-04-03,4224165558616.102,1048666115697.66,1861197383630.0022
2019-04-04,4521503419155.419,942139031023.51,1680619407286.877
