region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value,mining_value,moon_mining_value,loyalty_points
10000001,Derelik,178025220676802.25,197324422428.7907,176720252757170.88,197498755429.3866,64593615212.0,353306724556.95,677878608411.1324,1809972522514.47,594662660422.7323,77944214.0,55745642.0
10000002,The Forge,623745421431412.8,684927186467.2386,699735299717758.5,678940405544.4564,387570471435.0,1741404208650.38,27678711666909.766,523458348714637.8,1213847477558.983,93716495.0,270157235.0
10000003,Vale of the Silent,136377311185607.73,177942436629.7999,104001469087042.22,112521343805.4814,4031933867124.0,1328312922738.88,20554260014208.984,7183064154970.31,1330832765499.3113,318254250.0,0.0
10000005,Detorid,8750302844687.467,8022449885.4947,9565378811039.293,8575825396.9807005,135297627183.0,153015260676.29,6687499132.8782,20295308118.0,28696406438.73619,5664983.0,0.0
10000006,Wicked Creek,6217839096887.619,5891527287.698,8278759811344.97,6492189934.674,74202701121.0,151983100867.76,44376919184.0401,0.0,26566957656.60281,4566088.0,0.0
10000007,Cache,10074432800574.559,5713101178.1567,10048486901823.074,5851744096.6692,241114160140.0,67054036440.59,41884948908.0473,273599600.0,56419447481.096756,7982447.0,0.0
10000008,Scalding Pass,10899101782703.34,8575788454.1373,14691489136729.986,11735832982.2806,142115714628.0,249034516534.55,91333242562.5358,2339020500.0,96152501074.48721,18855017.0,0.0
10000009,Insmother,11392878017786.797,11272520514.7703,19034453171494.402,14900608340.387499,539190537805.0,267937407749.55,10633040033.1906,24321925226.2,181919100309.3094,22690419.0,0.0
10000010,Tribute,128992100227607.39,175058377280.6487,183169311778541.66,268363471507.7356,1555384970711.0,868307156408.53,5899509282556.455,1167182143607.73,206667979466.18887,93853164.0,0.0
10000011,Great Wildlands,35975349334441.34,28913494812.2019,36430219298449.73,29551086218.8434,41681311272.0,335193965070.24,243936939709.0211,39317064000.02,105295420680.7382,24569808.0,505929.0
10000012,Curse,51885204657700.66,36465122461.271095,41687263071592.72,33080246354.1932,71241876926.0,375278935101.02,140529728150.6394,150375689547.02005,28377259016.52459,6360970.0,372502055.0
10000013,Malpais,44715463866459.61,53447101507.0909,39896486441405.35,47851761052.2677,1610175193875.0,372779173452.97,4111979879807.3706,348666909412.51,658488982352.7134,131480389.0,0.0
10000014,Catch,32338758326982.676,18698763067.002,31515934188999.98,17272770722.8906,740757090074.0,433315232361.84,131105664526.6429,35279694219.56,185389660127.93527,28619983.0,0.0
10000015,Venal,47453476458531.37,43975379471.7352,43632482370504.96,45360193761.385704,642851913891.0,403927612796.5,252497130255.1151,203620328880.02,228204414929.07056,31869443.0,1544072146.0
