wormhole_class,item_category,import_or_export,total
Class 1,Blue loot,Exports,3361091825213.052
Class 1,Blue loot,Imports,3319832607993.0195
Class 1,Gas,Exports,346181035212.8944
Class 1,Gas,Imports,195907841267.0382
Class 1,Materials,Exports,2133399006285.4854
Class 1,Materials,Imports,2013468919213.6895
Class 2,Blue loot,Exports,9895948432158.35
Class 2,Blue loot,Imports,9848220728138.287
Class 2,Gas,Exports,896981813375.1859
Class 2,Gas,Imports,958794751658.8694
Class 2,Materials,Exports,5603862716671.909
Class 2,Materials,Imports,5211120561461.124
Class 3,Blue loot,Exports,11305570931129.006
Class 3,Blue loot,Imports,9655025057091.195
Class 3,Gas,Exports,1043474640082.1711
Class 3,Gas,Imports,540636281355.5514
Class 3,Materials,Exports,5379488540853.065
Class 3,Materials,Imports,4801786273408.786
Class 4,Blue loot,Exports,11186111711835.143
Class 4,Blue loot,Imports,10094525538025.367
Class 4,Gas,Exports,654251668075.4836
Class 4,Gas,Imports,834722129051.0073
Class 4,Materials,Exports,3050383545806.8926
Class 4,Materials,Imports,2835713690076.353
Class 5,Blue loot,Exports,22457283631176.227
Class 5,Blue loot,Imports,6331102868399.66
Class 5,Gas,Exports,1017090836227.1078
Class 5,Gas,Imports,322861486630.9959
Class 5,Materials,Exports,3514519617022.4434
Class 5,Materials,Imports,2712651379717.1606
Class 6,Blue loot,Exports,9877552546537.246
Class 6,Blue loot,Imports,3638850172409.064
Class 6,Gas,Exports,192278152788.0622
Class 6,Gas,Imports,106686811442.0014
Class 6,Materials,Exports,1321014703145.2773
Class 6,Materials,Imports,879596054653.864
